subject,toneaccError,toneMathError,ToneAbsolute,TonePartial,TonePartialB1,TonePartialB2,TonePartialB3,ToneSpeedErr,OspanAccError,OspanMathError,MeanOspanAbsoluteScore,MeanOspanPartialScore,MeanOspanPartialScoreBlock1,MeanOspanPartialScoreBlock2,MeanOspanPartialScoreBlock3,OspanSpeedError,symmAccError,SymmSpeedError,MeanSspanAbsoluteScore,MeanSspanPartialScore,MeanSspanPartialScoreBlock1,MeanSspanPartialScoreBlock2,MeanSspanPartialScoreBlock3,MeanSymmErrorTotal,NumberAttempted,NumberTotalScore,NumberTotalTime,,,RavensBlock1,RavensBlock2,RavensBlock3,Ravens Block4,,BeatPerception,,MelodicMemory
944,7,8,45,66,24,22,20,1,7,7,51,64,22,17,25,0,4,0,23,30,8,12,10,4,15,6,1,944,944,5,8,7,20,944,12,944,7
945,4,7,28,44,8,17,19,3,2,3,34,55,18,19,18,1,6,1,8,17,9,5,3,7,13,8,5,945,945,9,9,8,26,945,12,945,10
946,11,12,8,29,11,5,13,1,1,2,20,40,10,14,16,1,1,0,12,31,11,10,10,1,15,6,5,946,946,7,8,6,21,946,11,946,10
947,5,6,10,46,7,19,20,1,7,16,27,54,21,16,17,9,5,0,23,31,11,10,10,5,15,9,4,947,947,7,9,5,21,947,10,947,4
948,6,9,38,63,22,19,22,3,6,8,40,63,21,19,23,2,9,4,11,28,8,9,11,13,12,6,5,948,948,3,4,5,12,948,12,948,6
949,2,3,41,58,15,21,22,1,3,4,40,62,23,20,19,1,3,1,12,25,7,9,9,4,15,8,4,949,949,5,5,4,14,949,9,949,7
950,3,4,4,21,11,5,5,1,4,5,0,17,7,4,6,1,10,0,0,2,0,1,1,10,15,4,2,950,950,6,7,7,20,950,11,950,10
951,5,5,16,47,18,12,17,0,10,11,4,22,8,8,6,1,2,0,15,21,8,6,7,2,15,7,3,951,951,10,9,7,26,951,14,951,7
952,3,5,40,63,20,24,19,2,4,10,49,64,16,23,25,6,2,2,24,34,11,11,12,4,15,9,4,952,952,9,7,7,23,952,9,952,8
953,8,8,22,41,8,15,18,0,6,9,27,56,16,17,23,3,3,0,12,23,5,8,10,3,13,6,5,953,953,5,6,6,17,953,10,953,9
954,5,5,0,16,5,5,6,0,5,7,11,28,11,16,1,2,2,1,7,20,10,5,5,3,15,11,4,954,954,8,6,7,21,954,11,954,5
955,9,10,0,16,13,1,2,1,7,8,3,12,8,1,3,1,1,1,9,21,8,7,6,2,15,2,2,955,955,5,7,5,17,955,11,955,10
